,id_cliente,valor_divida_mil,nome_completo,data_nascimento,idade,estado_civil,profissao,renda_mensal,razao_social,capital_social,faturamento_anual_mil,numero_funcionarios,ramo_atuacao_cliente,socios,tempo_inadimplencia_dias,email,telefone,endereco,possui_outras_dividas,possui_protestos,documento,tipo_pessoa,score_ranking_bruto,score_recuperacao
40,1080,292.8,Luiz Gustavo Dias,1965-08-23,60.0,SOLTEIRO,Programador,2690.4,,,,,,,869,correiajulia@example.org,(041) 6837 0055,"Rodovia de Andrade, 22, Leão do Campo - PE",NAO,NAO,652.714.308-71,pf,2.3001303616749578,0.6143284400788499
41,1084,21.7,Liz Lima,2005-02-23,20.0,VIUVO,Matemático,4380.29,,,,,,,237,julia68@example.net,+55 81 1098 5937,"Condomínio de Camargo, 83, da Cruz - RR",NAO,NAO,420.798.156-01,pf,7.08400837429055,0.8387612653626403
42,1090,572.43,Emanuel da Rocha,1994-10-20,30.0,SOLTEIRO,Enólogo,1876.08,,,,,,,1787,ravi05@example.org,+55 (021) 4441-4000,"Rodovia da Cunha, Almeida da Mata - TO",SIM,SIM,857.403.912-88,pf,-5.021891662807533,0.2065462082192544
43,1091,207.49,Breno da Cunha,1964-09-17,60.0,VIUVO,Comandante,2366.42,,,,,,,968,arthur-gabrielmoreira@example.net,+55 21 1292 5157,"Sítio Siqueira, 51, da Cruz - SE",NAO,SIM,860.379.524-00,pf,3.20758997045068,0.6659763702274034
44,1092,438.3,Anna Liz Ferreira,1988-10-06,36.0,VIUVO,Pizzaiolo,2589.13,,,,,,,589,clara53@example.org,(081) 1751-7612,"Campo Castro, Nascimento - TO",SIM,SIM,925.741.603-80,pf,-0.04207791452344134,0.47155533855456044
45,1094,48.66,Maysa Fogaça,1976-06-27,49.0,CASADO,Carnavalesco,12027.74,,,,,,,332,borgesvitor@example.net,+55 (011) 6672 7213,"Chácara Rocha, 74, da Cruz - AC",SIM,NAO,672.830.945-47,pf,2.9303731448113375,0.6505507652493462
46,1095,92.9,Letícia Gonçalves,1978-10-20,46.0,SOLTEIRO,Lavador,4123.86,,,,,,,1692,clararios@example.net,84 5292-8412,"Viela Pereira, 6, Nascimento - ES",NAO,SIM,928.317.546-82,pf,0.5893605722633466,0.5105763314322957
47,1097,1206.66,Maria Flor Pacheco,1996-02-27,29.0,DIVORCIADO,Engenheiro de minas,3751.41,,,,,,,161,dnovaes@example.com,0300-852-5604,"Loteamento Moreira, 3, da Cruz Grande - RN",NAO,NAO,579.238.641-28,pf,4.011873183104129,0.7086871171497275
48,1099,1592.59,Amanda Correia,1982-07-05,43.0,VIUVO,Figurinista,1554.45,,,,,,,1090,gael-henrique19@example.com,(061) 5935 3654,"Favela Monteiro, 34, Sousa dos Dourados - SC",SIM,NAO,706.123.489-03,pf,-4.8082366712339475,0.21534301827423183
49,1100,214.75,Maya Ferreira,1969-08-03,56.0,DIVORCIADO,Meredeira,8084.95,,,,,,,1564,ravicosta@example.net,+55 (084) 0993-7660,"Trevo Fernandes, 37, Macedo - AC",NAO,SIM,278.039.416-13,pf,1.409118046384751,0.5609734389932578
50,1101,115.46,João Lucas Nunes,1958-07-08,67.0,DIVORCIADO,Corredor de atletismo,14339.6,,,,,,,2000,heloisanogueira@example.org,+55 41 1905 6869,"Condomínio Cauã Gomes, Rocha da Praia - SC",NAO,SIM,562.734.890-92,pf,-0.011514838344266032,0.47343988763828165
51,1106,260.91,Heloísa Machado,1947-01-22,78.0,SOLTEIRO,Jogador de handebol,1951.22,,,,,,,1396,isabelapinto@example.net,+55 (051) 4546-0314,"Jardim Gomes, 191, Fonseca - RN",SIM,SIM,152.096.473-07,pf,-4.272307897777576,0.23858923250957578
52,1108,150.8,Theo Ribeiro,2006-05-17,19.0,SOLTEIRO,Tecnólogo em negócios imobiliários,1518.63,,,,,,,1371,jesusmanuella@example.net,+55 41 6075 8790,"Estação de Casa Grande, 6, Cassiano do Oeste - MG",NAO,SIM,897.632.104-96,pf,2.184942734115544,0.6075551655802309
53,1111,2032.64,Pedro Miguel Porto,1996-05-05,29.0,CASADO,Profissional de hotelaria,2429.43,,,,,,,552,camila80@example.org,81 2556 1287,"Residencial Ana Luiza Ferreira, 78, Novais - PR",SIM,NAO,450.281.796-11,pf,-2.3663648622365088,0.3342748742954894
54,1112,616.36,Mariah da Cunha,1997-07-27,28.0,DIVORCIADO,Governador,9699.37,,,,,,,1047,agatha51@example.com,0500-633-9425,"Rodovia Jade Borges, 32, Pacheco - PR",NAO,NAO,172.605.843-35,pf,2.762019743691583,0.641024062260458
55,1113,321.71,Bella Azevedo,1989-02-20,36.0,CASADO,Engenheiro cartográfico,2852.45,,,,,,,534,maria-alice96@example.com,(061) 9555 0215,"Quadra Borges, 85, Moraes - MT",NAO,NAO,276.198.045-01,pf,6.434167298915778,0.8158190826529345
56,1114,211.01,Brayan Gonçalves,1968-02-12,57.0,DIVORCIADO,Adestrador de animais,3127.98,,,,,,,913,ramosantonio@example.net,61 1975 1315,"Vereda de Pacheco, 5, da Rosa - BA",NAO,NAO,374.961.805-48,pf,3.4536569505512573,0.6793786118928308
57,1117,25.38,Liz Castro,1959-09-17,66.0,CASADO,Gastrônomo,2933.63,,,,,,,128,anthony-gabrielpires@example.org,+55 (041) 5143 6704,"Núcleo de Sampaio, 87, Pires - AC",NAO,SIM,583.761.209-21,pf,7.677848129167868,0.8576554164261716
58,1122,45.07,Cauê Vieira,1991-05-26,34.0,CASADO,Anestesiologista,21532.35,,,,,,,1311,rafael03@example.com,+55 31 1624-7354,"Via Cardoso, 13, Casa Grande - SC",NAO,NAO,658.301.794-66,pf,4.7439375155026,0.744620421132994
59,1123,720.83,Srta. Maria Cecília Azevedo,1946-08-22,79.0,VIUVO,Telefonista,5781.5,,,,,,,497,beatrizaparecida@example.net,61 6656-8347,"Estação Cunha, 7, Cunha de Carvalho - SE",NAO,NAO,143.598.206-15,pf,2.8564941037854537,0.6463843942131137
60,1125,601.55,Valentina Gomes,1984-09-15,40.0,VIUVO,Agente de combate à endemias,2480.53,,,,,,,1415,teixeiraana-laura@example.net,+55 11 1300 7706,"Jardim Benjamim Garcia, 81, Cassiano da Prata - AC",NAO,SIM,416.270.853-35,pf,1.3108975987514393,0.5549804374071463
61,1127,179.54,Pedro Henrique Pimenta,1961-08-21,64.0,SOLTEIRO,Berçarista,1691.38,,,,,,,1435,caue69@example.org,+55 51 5514 1675,"Pátio Daniel Teixeira, 31, Martins - AL",SIM,SIM,381.056.724-80,pf,-3.8070689991987727,0.2601223183327749
62,1128,13.86,Maria Laura Cardoso,1973-07-07,52.0,DIVORCIADO,Tenente,1173.48,,,,,,,1698,joaosampaio@example.com,(081) 1900 8885,"Viela Correia, 44, Pacheco Alegre - PB",SIM,SIM,516.320.489-06,pf,-2.886854575561801,0.3062566549676269
63,1129,1109.04,José Miguel Montenegro,1984-06-18,41.0,CASADO,Ciclista,1118.71,,,,,,,202,tda-mata@example.org,61 0681 0237,"Esplanada de Nascimento, 25, Nunes - SE",SIM,SIM,439.172.506-16,pf,0.8109606250515298,0.5242643927095206
64,1131,43.4,Luiza Viana,1971-09-01,54.0,CASADO,Recreador,6713.34,,,,,,,143,aurora71@example.net,(031) 1241 4981,"Viela de Moraes, 99, Rodrigues do Sul - AM",NAO,NAO,241.985.630-98,pf,7.907616971840443,0.8644549078307291
65,1132,292.63,Hadassa Albuquerque,2006-12-31,18.0,CASADO,Lamboteiro,5189.24,,,,,,,1184,hda-paz@example.com,+55 11 6020 5834,"Condomínio de Viana, Andrade - RO",SIM,NAO,754.028.963-56,pf,0.43676723831937947,0.5011402884380882
66,1134,45.98,Benjamin Sá,1965-08-27,60.0,SOLTEIRO,Médico cirurgião,4625.91,,,,,,,922,zgomes@example.org,41 2242 5657,"Viela Leão, 83, das Neves Verde - PA",SIM,SIM,872.409.635-00,pf,-1.7282955304744514,0.37026980079095123
67,1136,640.12,Heloísa Montenegro,1978-07-15,47.0,VIUVO,Assistente de produção,1227.45,,,,,,,59,aylladas-neves@example.org,(081) 8858-2473,"Trecho de Monteiro, 6, Andrade dos Dourados - RN",NAO,NAO,950.736.281-95,pf,5.316718762134122,0.7706217903650571
68,1137,55.09,Joaquim Cardoso,2001-09-09,23.0,DIVORCIADO,Designer de moda,1511.32,,,,,,,1156,da-luzravy@example.net,(081) 6104-1603,"Fazenda Santos, 39, Aragão - TO",NAO,NAO,139.264.875-00,pf,4.0058589717621516,0.7083798511073084
69,1138,60.74,José Pedro da Rocha,1990-10-17,34.0,VIUVO,Embalsamador,4834.21,,,,,,,1669,rebecapereira@example.org,+55 (071) 2523 1431,"Vereda de Barbosa, Cavalcante de Alves - PE",NAO,SIM,374.012.586-17,pf,2.069484109739357,0.6007241663333966
70,1139,230.74,Ravi da Rocha,1947-08-22,78.0,DIVORCIADO,Juiz de direito,842.66,,,,,,,87,ycaldeira@example.com,+55 11 7924-4875,"Campo Gonçalves, 73, Novaes das Pedras - AM",SIM,NAO,172.980.356-30,pf,0.9517167292048114,0.5329411905940147
71,1142,20.96,Sra. Valentina Mendonça,1990-01-02,35.0,VIUVO,Engenheiro industrial,3016.61,,,,,,,844,correiathomas@example.org,+55 (071) 5240-2334,"Passarela Andrade, 35, Macedo do Campo - SC",NAO,SIM,354.768.120-08,pf,4.758484310115943,0.7453041637588448
72,1144,1930.42,Laura Pinto,1996-03-21,29.0,CASADO,Biblioteconomista,8369.05,,,,,,,1456,siqueiragabriela@example.net,(081) 9484-9564,"Largo Siqueira, 54, Martins - BA",SIM,NAO,653.912.804-51,pf,-4.96469167046628,0.20887495163247066
73,1146,24.55,Enzo Gabriel da Mota,1975-05-27,50.0,DIVORCIADO,Profissional de rádio e tv,12265.35,,,,,,,588,raul03@example.org,+55 (061) 4393-4531,"Viaduto Vitor Monteiro, 48, Araújo do Galho - SE",SIM,NAO,213.754.680-90,pf,0.6550351562241556,0.5146355801887185
74,1147,1647.84,Kaique da Rosa,2007-07-21,18.0,CASADO,Amolador de ferramentas,980.67,,,,,,,273,agatha84@example.org,+55 51 8231 0560,"Estrada de Azevedo, 3, Almeida - AP",NAO,NAO,437.180.256-71,pf,4.3111479466401805,0.7237329755224572
75,1148,68.74,Sophie Dias,1947-08-27,78.0,CASADO,Diretor de fotografia,517.11,,,,,,,1157,da-conceicaothales@example.com,71 1640-2093,"Chácara Evelyn Araújo, 955, Cardoso do Oeste - DF",SIM,SIM,912.603.754-80,pf,-0.5174932697728023,0.44237816790264456
76,1151,546.55,Melissa da Rosa,2001-12-24,23.0,CASADO,Pedreiro,1586.77,,,,,,,1440,kmacedo@example.org,(041) 4927-9859,"Setor de Gomes, Oliveira de Andrade - PB",NAO,SIM,746.019.528-67,pf,3.3331509144792175,0.6728503676784339
77,1155,2173.97,José Miguel Montenegro,1951-01-22,74.0,VIUVO,Viveirista,3667.22,,,,,,,1297,calebbrito@example.net,+55 (084) 9608 3088,"Praça de Guerra, 60, Cavalcanti de Goiás - SC",SIM,SIM,869.243.517-19,pf,-7.806925516782306,0.1155903212414983
78,1156,147.96,Dra. Isabelly Silva,2006-05-26,19.0,SOLTEIRO,Panfleteiro,2404.58,,,,,,,82,hellena16@example.net,(041) 6447 2510,"Rua de Borges, 86, Peixoto - RJ",SIM,NAO,627.803.945-10,pf,1.7748196552300382,0.5831178030038886
79,1157,1109.09,Stephany Cunha,1974-07-26,51.0,DIVORCIADO,Químico farmacêutico,193.56,,,,,,,1147,oliver16@example.net,+55 71 2617 0086,"Alameda Eduardo Leão, 66, Rezende - MG",NAO,SIM,674.215.839-55,pf,0.5478605144078941,0.5080105210549495
80,1158,520.92,Clara Sales,2004-08-06,21.0,SOLTEIRO,Marinheiro,6943.32,,,,,,,117,yguerra@example.net,84 1023-6760,"Distrito de Cavalcanti, 49, Cavalcante - PA",NAO,SIM,146.752.803-07,pf,5.143748093365021,0.7629703294229767
81,1159,14.07,Yago Ferreira,1965-03-19,60.0,CASADO,Controlador de vôo,8313.24,,,,,,,721,isiscaldeira@example.net,11 7075-8839,"Residencial de Rios, 72, Nunes - RN",NAO,SIM,256.874.109-02,pf,5.990980559727781,0.7987713542428293
82,1161,60.17,Fernanda Pires,1998-03-03,27.0,VIUVO,Marechal,580.67,,,,,,,574,cavalcantemiguel@example.org,(031) 9669 2309,"Lago Luiz Miguel Siqueira, 97, Farias - CE",NAO,SIM,210.376.894-96,pf,5.728020919941912,0.7881113764569267
83,1162,169.29,Gustavo Henrique Nunes,2003-07-08,22.0,CASADO,Tecnólogo em rochas ornamentais,1123.19,,,,,,,50,joao-miguel94@example.com,31 9541 8069,"Chácara de Araújo, 27, Cassiano - RO",NAO,SIM,981.752.436-19,pf,8.739920175075238,0.8868238085139247
84,1165,134.01,Emanuella Silva,1980-07-17,45.0,CASADO,Educador integrado à saúde pública,13761.39,,,,,,,382,josuearagao@example.com,+55 (061) 9968 8100,"Campo de Carvalho, 5, Borges - MT",NAO,NAO,708.345.216-44,pf,7.1588843338893025,0.8412507412857393
85,1166,7828.62,Valentim da Luz,1946-04-10,79.0,CASADO,Operador de bombas,2851.4,,,,,,,1127,vieiraluiz-otavio@example.net,84 6015 7430,"Setor Caldeira, 10, da Paz - ES",NAO,SIM,568.421.790-76,pf,-16.05296607029647,0.016710302768920746
86,1167,222.55,Davi Martins,1980-02-04,45.0,CASADO,Leiloeiro,2567.21,,,,,,,1737,sampaiomaria-eduarda@example.org,(021) 7743-1372,"Estação Maria Clara Sousa, 73, Machado Paulista - PE",SIM,SIM,458.123.076-44,pf,-1.8620503811311828,0.36258788705284
87,1170,911.15,Maria Vitória Sales,1948-07-06,77.0,DIVORCIADO,Taxidermista/Embalsamador,2340.08,,,,,,,1189,araujojoana@example.net,81 5106-6986,"Vereda Asafe Moreira, Porto - MA",NAO,SIM,904.215.836-06,pf,0.22572470429686842,0.4880899486986006
88,1171,113.54,Dra. Eloah Leão,1947-11-18,77.0,CASADO,Técnico de som,1181.14,,,,,,,1576,amoreira@example.org,(061) 0698-6078,"Colônia de Vieira, 769, Gomes - MG",SIM,SIM,701.285.493-60,pf,-1.9336160239882383,0.358506023960382
89,1173,23.28,Henrique da Paz,1994-12-03,30.0,DIVORCIADO,Procurador de justiça,1370.6,,,,,,,157,marinacardoso@example.net,+55 51 7185 3874,"Colônia de Borges, 68, Teixeira - AM",NAO,NAO,207.359.846-38,pf,7.063323340407315,0.838067993740765
90,1174,52.37,Oliver Pacheco,1999-02-21,26.0,VIUVO,Gerente de vendas,1737.15,,,,,,,243,maysa49@example.org,+55 (021) 1131-3635,"Colônia Maria Eduarda Guerra, 65, Peixoto de Costa - RR",SIM,NAO,816.729.435-82,pf,2.323567941078122,0.6157013082522689
91,1175,3.7,Otávio Castro,2006-05-17,19.0,SOLTEIRO,Neonatologista,1397.66,,,,,,,724,calbuquerque@example.net,+55 51 4117 0508,"Alameda Lorena Peixoto, 549, Souza - ES",NAO,NAO,821.537.406-90,pf,4.615211821282586,0.7385175713050836
92,1179,410.4,Eloá Cavalcante,1999-09-01,26.0,CASADO,Médico cirurgião,5712.86,,,,,,,900,elisaazevedo@example.net,(051) 0497 2188,"Conjunto de Albuquerque, 40, Barbosa - SP",SIM,NAO,890.462.713-31,pf,0.8151713055808871,0.5245241957080717
93,1182,1723.53,Srta. Alana Ribeiro,1956-02-13,69.0,SOLTEIRO,Profissional de reciclagem,1647.95,,,,,,,746,siqueirasophia@example.org,+55 (051) 0054 8248,"Vale Thomas Castro, 74, da Rocha - PA",SIM,SIM,329.716.054-34,pf,-5.759861899523052,0.17822210696691848
94,1186,84.2,Emanuelly Gomes,1968-04-28,57.0,VIUVO,Escrivão,7635.79,,,,,,,1507,davi-lucca00@example.com,84 6650 0228,"Ladeira de Novais, 77, Cavalcanti da Mata - RO",NAO,NAO,384.509.726-47,pf,1.9008670128458003,0.5906779628420012
95,1187,214.56,Emanuel Cassiano,1964-12-12,60.0,VIUVO,Engenheiro florestal,11062.53,,,,,,,1281,juliana83@example.net,+55 41 1452-6490,"Viela Carolina Vasconcelos, 32, Barbosa - PI",SIM,SIM,042.879.136-04,pf,-2.3020594984163996,0.3378243979702692
