id_cliente,valor_divida_mil,nome_completo,data_nascimento,idade,estado_civil,profissao,renda_mensal,razao_social,capital_social,faturamento_anual_mil,numero_funcionarios,ramo_atuacao_cliente,socios,tempo_inadimplencia_dias,email,telefone,endereco,possui_outras_dividas,possui_protestos,documento
1044,543.07,,,,,,,Borges e Filhos,401883.59,39.42532,152.0,VAREJO,"Agatha Barros, Erick Sousa, Ravi Lucca Guerra",844,helenacorreia@example.com,+55 11 9828-5519,"Quadra de da Rosa, da Cunha - AP",SIM,SIM,08.529.713/0001-59
1045,262.03,Bryan Almeida,2004-06-19,21.0,CASADO,Contatólogo,9503.14,,,,,,,906,adas-neves@example.com,+55 81 0688 8007,"Lago Pires, 47, Almeida - SE",NAO,NAO,438.501.792-14
1046,170.97,Vinícius Rios,1969-11-16,55.0,CASADO,Biblioteconomista,3303.55,,,,,,,1140,ana-carolinaguerra@example.net,(081) 5818-5695,"Passarela Otto Moura, 5, Leão - BA",SIM,SIM,740.325.169-52
1047,66.98,,,,,,,Ribeiro,2654980.86,15.3216,418.0,VAREJO,Stephany Câmara,281,brunaviana@example.org,+55 (061) 9385 2319,"Pátio Lavínia Pacheco, 29, Guerra - MA",NAO,NAO,86.479.012/0001-66
1048,4119.74,,,,,,,Cirino Cunha S/A,4175036.54,25.93566,21.0,AGRONEGOCIO,"Marcela da Paz, Emanuel Costa",571,jose-pedro67@example.com,+55 (021) 9000-3974,"Área de Jesus, 67, Costela - MA",NAO,SIM,86.401.372/0001-45
1049,428.89,,,,,,,Cavalcante,4509076.38,689.2250600000001,305.0,INDUSTRIA,"Gabriel Silveira, Paulo Fernandes",1637,upinto@example.com,+55 84 1362-9655,"Alameda de Ramos, Barros - RJ",SIM,NAO,29.543.180/0001-30
1050,348.4,,,,,,,da Cruz e Filhos,2628257.5,51.36741000000001,410.0,VAREJO,"Luiz Miguel Pacheco, Sra. Isabella da Cruz, Sr. Yuri da Luz, Ana Sophia Teixeira",900,mirellacosta@example.com,+55 (061) 7305-9700,"Lagoa Theo Jesus, Pires do Sul - SP",SIM,SIM,83.659.721/0001-35
1051,3.01,,,,,,,Rios Vasconcelos e Filhos,2681524.94,15.33843,23.0,TECNOLOGIA,"Benjamim Castro, Laura Aragão",1104,yaparecida@example.net,(021) 9074 8979,"Estrada de Correia, 92, da Mata - GO",SIM,SIM,19.720.684/0001-24
1052,6.02,Mariana Brito,1972-02-06,53.0,DIVORCIADO,Engenheiro ambiental,3367.9,,,,,,,1020,hmachado@example.org,+55 (041) 5595 7294,"Quadra de Mendonça, 46, Campos - MG",NAO,NAO,451.870.923-32
1053,11.02,,,,,,,Cassiano da Cruz Ltda.,1302932.07,345.93622,114.0,VAREJO,"Dr. André da Mata, Gael Rocha",546,fmoura@example.org,11 4275 6812,"Vale de Monteiro, 70, Câmara - PA",SIM,SIM,62.740.983/0001-50
1054,49.99,Guilherme Sousa,1993-08-24,32.0,CASADO,Quadrinista,1502.43,,,,,,,294,nicole31@example.com,51 0251 4128,"Campo Isaque Correia, 783, Castro da Prata - AL",NAO,NAO,495.612.387-64
1055,1017.49,,,,,,,Alves,1368405.13,36.853699999999996,107.0,INDUSTRIA,Augusto Camargo,1760,mouramaria-julia@example.org,+55 81 1949-3123,"Praia de Pereira, 29, Vasconcelos - MG",NAO,NAO,08.479.536/0001-43
1056,144.44,,,,,,,Dias,275144.44,116.62335,82.0,AGRONEGOCIO,"Joana da Paz, Maria Fernanda Rocha",1279,maria-lizramos@example.org,71 4472 2740,"Rodovia de Monteiro, 435, da Cruz da Serra - MT",NAO,SIM,70.564.329/0001-60
1057,1362.21,,,,,,,Monteiro Montenegro e Filhos,4858220.02,403.72697999999997,341.0,VAREJO,"Yasmin da Rosa, Dr. Pedro Moraes, Pedro Henrique Ramos, Otto Rezende",986,rcastro@example.com,41 4541-9981,"Setor Matteo Duarte, 84, Fonseca do Campo - RR",NAO,NAO,91.503.487/0001-80
1058,572.83,,,,,,,Guerra,3241607.36,74.06922,19.0,AGRONEGOCIO,"Vinícius da Costa, Luiz Fernando Rios, Evelyn Câmara, Srta. Ana Lívia Viana",1486,fonsecaraul@example.org,0900-751-4660,"Distrito de Moreira, 978, Brito - MG",NAO,SIM,83.026.459/0001-91
1059,54.9,,,,,,,Costela,1594750.81,41.56121,114.0,VAREJO,"Vinicius Mendonça, José da Paz, Allana da Mota, Ana Luiza Siqueira",444,hellenafreitas@example.net,(051) 6902 1514,"Loteamento Maya da Mota, das Neves - CE",SIM,SIM,65.473.289/0001-01
1060,1402.8,,,,,,,Andrade,2501493.5,63.50933,55.0,AGRONEGOCIO,"João Gabriel Montenegro, Otto Moura, Sr. Luigi Vieira, João Guilherme Sales",1157,mendoncadanilo@example.com,84 0444-0175,"Quadra Pedro Campos, 40, da Rocha - AM",NAO,NAO,59.402.167/0001-21
1061,1174.19,Luiz Gustavo da Rosa,1967-01-30,58.0,CASADO,Letrista,25327.46,,,,,,,1856,borgesnina@example.com,(051) 6015 8670,"Campo Otto Aparecida, 54, Moreira - AL",SIM,NAO,372.856.014-62
1062,352.85,,,,,,,Jesus - ME,1261729.8,19.117919999999998,190.0,SERVICOS,"Apollo Macedo, Sra. Isadora Fogaça, Guilherme Cassiano",1445,maria-cecilia37@example.org,+55 (011) 3194-7058,"Recanto de Teixeira, 90, Freitas - MT",NAO,SIM,81.746.209/0001-09
1063,25.5,Giovanna Nogueira,1980-03-28,45.0,CASADO,Traumatologista,434.23,,,,,,,1165,bentoda-mata@example.org,+55 (051) 8805 0632,"Pátio Daniela Carvalho, 74, Costela - GO",SIM,SIM,958.014.762-02
1064,681.93,,,,,,,Novaes,3223996.89,25.825110000000002,416.0,VAREJO,Nathan Lopes,1395,benjamin45@example.net,(041) 1179 5538,"Vila Beatriz da Rosa, 31, Costa das Pedras - CE",NAO,SIM,12.834.960/0001-36
1065,614.38,Enzo Andrade,1949-06-01,76.0,CASADO,Implantodontista,2192.31,,,,,,,1408,mmachado@example.net,84 6190-4562,"Travessa Anthony Moura, Nunes - PB",NAO,NAO,745.168.230-71
1066,37.04,André Câmara,2004-11-01,20.0,VIUVO,Senador,1093.91,,,,,,,655,kamilly34@example.org,0300-386-9412,"Esplanada de da Rosa, 30, Vargas do Campo - GO",SIM,NAO,462.951.073-70
1067,625.93,Vitor Gabriel Pires,1993-08-27,32.0,CASADO,Tecnólogo em produção de bebidas,2586.14,,,,,,,1094,jmonteiro@example.net,+55 41 4275 7450,"Setor Rocha, 12, Cassiano de Goiás - RR",SIM,NAO,307.541.289-97
1068,1011.83,,,,,,,Ferreira Ltda.,3027914.91,28.456400000000002,434.0,TECNOLOGIA,"Sabrina Aparecida, Vitor Hugo Nunes",1871,davi-luiz02@example.org,(011) 4971-5132,"Trevo Aragão, 750, Macedo da Prata - TO",SIM,NAO,57.019.683/0001-46
1069,179.23,Ana Lívia Rios,1995-04-22,30.0,CASADO,Caminhoneiro,1038.29,,,,,,,362,macedoandre@example.org,+55 11 3055-6126,"Jardim de Aragão, 201, Borges - MS",NAO,NAO,926.401.387-31
1070,40.81,Sra. Marcela Martins,1948-12-22,76.0,SOLTEIRO,Levantador de peso,1213.3,,,,,,,174,leonardo31@example.org,+55 84 3330-5322,"Praça Benjamim Correia, 28, Costela da Prata - SP",NAO,SIM,396.021.785-40
1071,41.49,,,,,,,Carvalho Rezende e Filhos,2170548.07,76.68433999999999,387.0,INDUSTRIA,"José Novais, Sarah Barros",1753,qgoncalves@example.net,+55 84 8422 5933,"Vereda Hellena da Conceição, 49, Pires - PE",SIM,SIM,38.794.126/0001-58
1072,132.34,João Pedro Costa,1958-11-02,66.0,CASADO,Oftalmologista,2860.03,,,,,,,238,isis93@example.org,+55 (071) 4257 9778,"Sítio da Mata, 514, Rios - CE",SIM,NAO,859.140.326-60
1073,389.04,,,,,,,Fonseca da Costa Ltda.,1322889.56,46.03276,242.0,VAREJO,Ravy Almeida,1208,luiz-otavio06@example.net,+55 (081) 4365-8474,"Setor Rael Alves, 6, Sá - AL",NAO,SIM,58.964.273/0001-36
1074,298.0,,,,,,,Macedo,694810.85,72.60258999999999,384.0,TECNOLOGIA,"Ana Sophia Aragão, Daniel Cassiano, Antonella Alves",1719,hellenacassiano@example.org,(041) 3799-3435,"Rua de Lima, 730, Marques de Melo - MT",SIM,SIM,47.230.189/0001-72
1075,107.46,,,,,,,Campos Ltda.,1214457.59,107.48747,222.0,VAREJO,"Srta. Ana Lívia Rios, Bryan Andrade",594,arthurmontenegro@example.com,(051) 5465-6560,"Ladeira de Leão, 670, Jesus - ES",SIM,SIM,15.604.398/0001-42
1076,275.03,,,,,,,Cavalcante,724993.84,291.42337,392.0,TECNOLOGIA,"Sra. Ágatha Cunha, Ana Beatriz Porto, João Pedro Teixeira, Stella Araújo",438,luiz-otavioaparecida@example.com,+55 61 6004-8707,"Feira Davi Miguel Ramos, 6, Rocha - MS",NAO,SIM,42.975.813/0001-47
1077,600.51,,,,,,,Siqueira Ltda.,4749367.26,1.9482599999999999,369.0,AGRONEGOCIO,"Alice das Neves, Luiz Otávio da Rocha",601,cirinoisis@example.com,61 9080 0762,"Passarela de Castro, 736, Borges de Goiás - SP",NAO,SIM,95.017.238/0001-36
1078,570.66,Davi Aparecida,1949-10-05,75.0,DIVORCIADO,Carteiro,4879.81,,,,,,,1437,ana-luiza21@example.com,84 2925 3156,"Morro de Machado, Moreira Grande - BA",SIM,SIM,309.485.162-24
1079,100.44,,,,,,,Pereira Sá Ltda.,972660.65,213.31882000000002,220.0,INDUSTRIA,"Luiza Monteiro, Ana Pimenta, Antônio Rezende",37,gael94@example.org,+55 61 5182-7002,"Chácara Lorena Moura, 66, Moraes Paulista - RO",SIM,NAO,70.289.635/0001-36
1080,16.29,,,,,,,Araújo Mendes S.A.,364549.03,695.52325,293.0,INDUSTRIA,"Isis Novaes, Dra. Allana Cavalcanti, Sr. Francisco Marques, Srta. Sophia Gonçalves",1517,alexandremonteiro@example.com,(011) 5157 8463,"Recanto Lavínia Macedo, 6, Gonçalves de Minas - RS",SIM,NAO,97.086.341/0001-63
1081,106.9,Cecilia Ribeiro,1982-09-21,42.0,DIVORCIADO,Peixeiro,7697.18,,,,,,,586,tpinto@example.com,+55 31 2249-4088,"Fazenda Heloísa Moura, 77, da Paz das Pedras - RN",NAO,SIM,391.752.086-95
1082,16.41,,,,,,,Pereira,3477479.05,46.21674,92.0,TECNOLOGIA,"Emanuelly da Rosa, Júlia Cardoso, Sra. Lunna Silva, Benjamim Mendonça",1370,maria-claraporto@example.org,+55 71 3136-5129,"Rodovia Sá, 4, da Rosa do Norte - RJ",SIM,SIM,56.198.307/0001-01
1083,23.94,Sarah Freitas,1968-09-21,56.0,DIVORCIADO,Físico nuclear,531.37,,,,,,,313,sarah25@example.com,(051) 5058-9702,"Esplanada Pereira, Nogueira do Galho - MG",NAO,SIM,064.935.128-24
1084,239.38,Ana Carolina da Mata,1981-12-04,43.0,DIVORCIADO,Gastroenterologista,1336.49,,,,,,,1461,ana-clara12@example.com,(031) 4940 3338,"Vale José Pedro Sousa, 58, Cassiano - SP",NAO,NAO,024.869.751-01
1085,552.76,João Gabriel Sales,1952-07-15,73.0,DIVORCIADO,Técnico em documentação,2016.84,,,,,,,1266,da-cunhaagatha@example.com,(041) 8585 0404,"Praça Apollo Fernandes, 46, Macedo dos Dourados - PE",SIM,SIM,810.623.597-12
1086,160.49,,,,,,,da Paz S/A,2766376.94,850.75062,42.0,TECNOLOGIA,"Luísa Fogaça, Ana Julia Vargas",243,salmeida@example.net,(061) 9427 1774,"Setor Cirino, 978, Cavalcante Alegre - PI",SIM,SIM,24.953.861/0001-52
1087,543.45,,,,,,,Cardoso Ltda.,3345060.25,238.03280999999998,481.0,SERVICOS,"Samuel Caldeira, Daniel Correia",1769,maria-claraaraujo@example.org,61 9708 1910,"Colônia de Machado, 70, da Cruz - MG",NAO,SIM,49.208.175/0001-88
1088,314.26,,,,,,,Sales,4565935.22,60.436339999999994,451.0,VAREJO,"Lorenzo Brito, Ísis Fogaça",381,maria-fernanda25@example.net,+55 11 6563 7054,"Pátio Maria Clara Pinto, 33, Novaes - PI",SIM,SIM,38.674.502/0001-70
1089,680.81,Isabel Gomes,1995-01-21,30.0,VIUVO,Anestesiologista,9035.45,,,,,,,44,evargas@example.org,41 6893 9433,"Estação Marina Aparecida, 689, Almeida - TO",SIM,NAO,394.701.625-52
1090,620.07,,,,,,,Casa Grande Pacheco Ltda.,2553563.92,75.38236,103.0,SERVICOS,"Clarice da Mata, Isabelly Costela, Júlia Alves",1944,bmartins@example.com,71 2021-3732,"Condomínio Gustavo Henrique Caldeira, 7, Cirino Verde - DF",SIM,SIM,40.376.528/0001-84
1091,337.87,,,,,,,Pimenta,4024844.61,75.12642,285.0,INDUSTRIA,"Isaac Mendes, Srta. Alice Pastor, Evelyn Câmara",1340,isabelpereira@example.org,21 8815 9601,"Viela Santos, 362, Nascimento - DF",SIM,NAO,96.453.108/0001-09
1092,25.87,,,,,,,Sá Pastor - EI,78605.96,93.74421000000001,138.0,AGRONEGOCIO,"Sra. Maria Júlia da Rosa, José Casa Grande, Mariane Mendes, Benicio da Rosa",163,gomesmaria-helena@example.com,+55 (081) 2324-7369,"Alameda de Guerra, 22, Cavalcante - CE",SIM,SIM,74.081.629/0001-40
1093,78.62,Luan Silva,1954-02-17,71.0,DIVORCIADO,Ginasta rítmica,2860.16,,,,,,,1807,gael49@example.org,(051) 5780-3373,"Fazenda de Carvalho, 970, Sá do Amparo - RS",SIM,SIM,468.175.902-30
1094,437.9,Vitor da Rosa,1972-10-28,52.0,VIUVO,Engenheiro mecânico,6403.17,,,,,,,308,maria-aliceazevedo@example.net,+55 (051) 4589-3168,"Trecho Nathan Guerra, Peixoto - PB",SIM,SIM,549.712.683-91
1095,795.99,,,,,,,Fogaça S.A.,751957.6,1988.3603500000002,179.0,SERVICOS,Kamilly Mendes,1934,danielcaldeira@example.com,0300 928 7580,"Lagoa Moura, 1, Siqueira - MA",NAO,NAO,79.468.015/0001-39
1096,47.33,,,,,,,Ramos,1071668.85,52.308910000000004,27.0,TECNOLOGIA,Srta. Maria Vitória Pinto,529,davi-lucas20@example.net,+55 (011) 3270 4853,"Loteamento Olivia Nogueira, 29, Gomes - TO",NAO,SIM,14.560.823/0001-86
1097,67.41,Luísa Moura,2003-12-09,21.0,DIVORCIADO,Mecânico,1601.97,,,,,,,1836,ravygoncalves@example.net,11 4467-1531,"Chácara de Araújo, Andrade dos Dourados - SE",SIM,NAO,980.341.725-88
1098,327.92,Breno Cavalcanti,1983-09-10,42.0,DIVORCIADO,Portuário,2153.12,,,,,,,1043,rochadaniel@example.com,(071) 4667-9635,"Residencial de Souza, 81, Freitas do Galho - MA",SIM,NAO,814.906.572-58
1099,70.72,Maria Julia Sousa,1958-06-21,67.0,SOLTEIRO,Lutador de karatê,5523.99,,,,,,,1347,piresjoao@example.net,0800 915 6732,"Praia de Guerra, 50, Moura das Flores - SE",NAO,NAO,918.670.542-30
1100,321.8,,,,,,,Alves,1267249.82,38.67723,378.0,TECNOLOGIA,"Ana Beatriz Oliveira, Maysa Silva, Joaquim Silva",218,odas-neves@example.org,+55 11 7992 1514,"Lagoa Marcelo Rezende, 24, Garcia - MG",NAO,SIM,24.931.586/0001-76
1101,522.69,Sra. Lavínia Barros,1957-03-20,68.0,SOLTEIRO,Afiador de ferramentas,1373.44,,,,,,,603,ssilva@example.net,+55 (051) 2480 7775,"Trevo da Cunha, 1, Nascimento de Cavalcanti - SP",SIM,NAO,342.517.809-14
1102,1062.15,,,,,,,Pires S/A,4053589.93,153.69169,107.0,INDUSTRIA,"Gabriela Freitas, Isabelly Moreira, Dr. Heitor Montenegro, Dra. Ester Freitas",1792,luiz-felipesa@example.net,(051) 2120-3030,"Fazenda de Ramos, 9, da Cruz da Prata - AC",NAO,NAO,20.654.371/0001-02
1103,354.49,Vitória Martins,2001-11-08,23.0,DIVORCIADO,Agente funerário,2679.46,,,,,,,954,fernandesluiz-fernando@example.net,+55 61 2972-1164,"Viaduto João Guilherme Monteiro, 55, da Luz - AL",NAO,SIM,304.726.895-92
